user_id,cluster
844,1
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,1
854,0
855,2
856,2
857,0
858,0
859,0
860,1
861,0
862,0
863,0
864,0
865,1
866,0
867,0
868,0
869,1
870,2
871,0
872,0
873,1
874,0
875,0
876,1
877,1
878,1
879,1
880,1
881,1
882,2
883,1
884,1
885,2
886,0
887,0
888,1
889,1
890,0
891,0
892,0
893,2
894,0
895,0
896,2
897,2
898,1
899,2
900,2
901,0
902,1
903,1
904,2
905,0
906,2
907,0
908,1
909,1
910,2
911,1
912,0
913,0
914,0
915,1
916,1
917,0
918,2
919,2
920,1
921,2
922,1
923,0
924,2
925,1
926,0
927,0
928,1
929,0
930,2
931,0
932,0
933,0
934,1
935,0
936,1
937,1
938,1
939,1
940,0
941,0
942,2
943,0
944,2
945,1
946,0
947,0
948,0
949,0
950,0
951,2
952,1
953,0
954,0
955,2
956,0
957,0
958,0
959,2
960,1
961,1
962,0
963,1
964,0
965,2
966,0
967,1
968,2
969,0
970,1
971,0
972,1
973,1
974,0
975,1
976,2
977,2
978,1
979,1
980,0
981,1
982,2
983,2
984,0
985,0
986,0
987,0
988,1
989,0
990,0
991,0
992,2
993,1
994,2
995,1
996,0
997,0
998,0
999,1
1000,0
1001,0
1002,0
1003,1
1004,1
1005,2
1006,0
1007,1
1008,0
1009,2
1010,0
1011,2
1012,1
1013,0
1014,1
1015,0
1016,1
1017,2
1018,0
1019,0
1020,0
1021,2
1022,1
1023,0
1024,0
1025,1
1026,0
1027,1
1028,1
1029,0
1030,0
1031,2
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,2
1040,1
1041,0
1042,2
1043,0
1044,1
1045,0
1046,0
1047,1
1048,1
1049,0
1050,0
1051,0
1052,1
1053,2
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,0
1061,0
1062,0
1063,0
1064,1
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,1
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,2
1079,1
1080,2
1081,0
1082,0
1083,0
1084,0
1085,1
1086,1
1087,0
1088,2
1089,0
1090,0
1091,0
1092,2
1093,2
1094,1
1095,1
1096,1
1097,0
1098,0
1099,1
1100,1
1101,2
1102,0
1103,2
1104,0
1105,1
1106,0
1107,1
1108,0
1109,0
1110,0
1111,1
1112,0
1113,1
1114,1
1115,0
1116,1
1117,1
1118,0
1119,0
1120,1
1121,2
1122,0
1123,1
1124,1
1125,1
1126,0
1127,1
1128,2
1129,0
1130,0
1131,2
1132,0
1133,1
1134,1
1135,1
1136,0
1137,2
1138,1
1139,0
1140,1
1141,0
1142,2
1143,0
1144,1
1145,1
1146,0
1147,1
1148,0
1149,0
1150,0
1151,1
1152,1
1153,1
1154,0
1155,0
1156,0
1157,0
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,0
1165,2
1166,0
1167,0
1168,0
1169,1
1170,0
1171,1
1172,0
1173,2
1174,0
1175,1
1176,0
1177,0
1178,1
1179,1
1180,2
1181,0
1182,2
1183,2
1184,1
1185,2
1186,1
1187,1
1188,0
1189,0
1190,2
1191,0
1192,0
1193,0
1194,1
1195,2
1196,2
1197,0
1198,1
1199,2
1200,2
1201,1
1202,1
1203,1
1204,1
1205,1
1206,0
1207,1
1208,1
1209,1
1210,0
1211,0
1212,0
1213,1
1214,1
1215,1
1216,0
1217,2
1218,2
1219,1
1220,0
1221,2
1222,0
1223,0
1224,0
1225,1
1226,0
1227,1
1228,0
1229,2
1230,0
1231,0
1232,2
1233,2
1234,2
1235,1
1236,1
1237,1
1238,0
1239,0
1240,0
1241,0
1242,1
1243,0
1244,0
1245,0
1246,1
1247,0
1248,1
1249,0
1250,1
1251,1
1252,1
1253,0
1254,1
1255,1
1256,0
1257,1
1258,2
1259,1
1260,1
1261,1
1262,0
1263,0
1264,0
1265,2
1266,0
1267,0
1268,1
1269,2
1270,0
1271,0
1272,0
1273,1
1274,0
1275,1
1276,1
1277,0
1278,0
1279,0
1280,1
1281,1
1282,0
1283,1
1284,0
1285,1
